City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,ixtapa,20.7,-105.2,26.24,65,40,6.69,MX,1712096235
322,mumford,5.2618,-0.759,27.91,84,100,3.59,GH,1712096338
323,buka,40.8108,69.1986,11.59,69,100,1.18,UZ,1712096218
324,yeroham,30.9872,34.9314,20.38,51,0,2.2,IL,1712096338
325,acarau,-2.8856,-40.12,26.83,87,100,2.66,BR,1712096338
326,khanty-mansiysk,61.0042,69.0019,3.06,75,40,5.0,RU,1712096339
327,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1712096120
328,kununurra,-15.7667,128.7333,26.99,89,100,2.57,AU,1712096339
329,pingliang,35.5392,106.6861,8.01,66,100,3.2,CN,1712096177
330,tangalle,6.024,80.7911,26.3,85,97,1.34,LK,1712096339
331,kapuskasing,49.4169,-82.4331,3.56,65,81,5.03,CA,1712096283
332,pisco,-13.7,-76.2167,25.03,69,75,6.17,PE,1712096054
333,arboga,59.3939,15.8388,-1.59,76,100,8.01,SE,1712096340
334,awjilah,29.1081,21.2869,23.94,18,0,2.0,LY,1712096341
335,baragaon,25.4333,82.8167,22.99,46,40,1.54,IN,1712096341
336,mancio lima,-7.6142,-72.8958,31.04,70,20,1.54,BR,1712096341
337,papao,-17.75,-149.55,29.82,75,32,8.79,PF,1712096341
338,neftegorsk,52.802,51.166,7.99,74,18,5.65,RU,1712096341
339,pangai,-19.8,-174.35,26.75,82,66,8.39,TO,1712096242
340,lorengau,-2.0226,147.2712,28.36,81,91,3.86,PG,1712096342
341,shuangjiang,26.1547,109.7138,20.13,95,47,0.9,CN,1712096342
342,coscomatepec de bravo,19.0667,-97.0333,30.94,27,76,3.48,MX,1712096342
343,santa cruz del norte,23.1539,-81.9236,28.55,63,41,2.96,CU,1712096343
344,oranjemund,-28.55,16.4333,15.62,88,19,3.63,NA,1712096181
345,misratah,32.3754,15.0925,17.34,75,0,5.55,LY,1712096344
346,la passe,45.5549,-0.8967,12.13,92,100,8.69,FR,1712096344
347,north bay,46.3168,-79.4663,7.78,49,78,6.69,CA,1712096112
348,lensk,60.7253,114.9278,-5.47,95,99,3.32,RU,1712096345
349,magadan,59.5667,150.8,-8.29,67,1,2.85,RU,1712096345
350,khorramabad,33.4878,48.3558,7.79,71,0,3.09,IR,1712096345
351,sena madureira,-9.0656,-68.6569,28.76,75,52,0.81,BR,1712096346
352,paracatu,-17.2222,-46.8747,23.09,88,90,0.69,BR,1712096330
353,markovo,57.3206,107.0881,-16.12,99,66,1.4,RU,1712096088
354,minas de marcona,-15.2119,-75.1103,19.95,67,84,5.14,PE,1712096182
355,bandarbeyla,9.4942,50.8122,27.22,73,45,3.92,SO,1712096347
356,anisoc,1.8658,10.7689,22.93,97,82,0.67,GQ,1712096347
357,stranraer,54.9023,-5.0273,6.71,89,100,4.62,GB,1712096348
358,arraias,-12.9288,-46.9437,23.31,83,89,0.32,BR,1712096348
359,wabag,-5.4781,143.7021,15.6,94,99,0.58,PG,1712096348
360,altai,46.3722,96.2583,-0.79,43,100,1.24,MN,1712096348
361,harper,4.375,-7.7169,27.84,89,44,2.67,LR,1712096348
362,ceerigaabo,10.6162,47.368,19.33,71,100,4.47,SO,1712096121
